State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Haryana,BHIWANI,Wheat,2002-03,Rabi,127732,Hectare,425000,Tonnes,3.32727899038612
Haryana,BHIWANI,Wheat,2003-04,Rabi,130308,Hectare,456000,Tonnes,3.49940141817846
Haryana,FARIDABAD,Wheat,2001-02,Rabi,132332,Hectare,520000,Tonnes,3.92951062479218
Haryana,FARIDABAD,Wheat,2002-03,Rabi,128491,Hectare,526000,Tonnes,4.09367193032975
Haryana,FARIDABAD,Wheat,2003-04,Rabi,131447,Hectare,520000,Tonnes,3.95596704375147
Haryana,FATEHABAD,Wheat,2001-02,Rabi,171860,Hectare,731000,Tonnes,4.2534621203305
Haryana,FATEHABAD,Wheat,2002-03,Rabi,172055,Hectare,715000,Tonnes,4.15564790328674
Haryana,FATEHABAD,Wheat,2003-04,Rabi,164753,Hectare,705000,Tonnes,4.2791330051653
Haryana,GURGAON,Wheat,2001-02,Rabi,119914,Hectare,417000,Tonnes,3.4774922027453
Haryana,GURGAON,Wheat,2002-03,Rabi,116705,Hectare,431000,Tonnes,3.69307227625208
Haryana,GURGAON,Wheat,2003-04,Rabi,125675,Hectare,450000,Tonnes,3.58066441217425
Haryana,HISAR,Wheat,2001-02,Rabi,197445,Hectare,824000,Tonnes,4.17331408746739
Haryana,HISAR,Wheat,2002-03,Rabi,194904,Hectare,792000,Tonnes,4.06353897303287
Haryana,HISAR,Wheat,2003-04,Rabi,199934,Hectare,827000,Tonnes,4.13636500045014
Haryana,JHAJJAR,Wheat,2001-02,Rabi,101209,Hectare,396000,Tonnes,3.91269551126876
Haryana,JHAJJAR,Wheat,2002-03,Rabi,93118,Hectare,366000,Tonnes,3.93049678902038
Haryana,JHAJJAR,Wheat,2003-04,Rabi,92614,Hectare,358000,Tonnes,3.8655062949446
Haryana,JIND,Wheat,2001-02,Rabi,206820,Hectare,877000,Tonnes,4.24040228217773
Haryana,JIND,Wheat,2002-03,Rabi,203405,Hectare,855000,Tonnes,4.20343649369484
Haryana,JIND,Wheat,2003-04,Rabi,206844,Hectare,819000,Tonnes,3.95950571445147
Haryana,KAITHAL,Wheat,2001-02,Rabi,168755,Hectare,769000,Tonnes,4.55690201771799
Haryana,KAITHAL,Wheat,2002-03,Rabi,171411,Hectare,752000,Tonnes,4.38711634609214
Haryana,KAITHAL,Wheat,2003-04,Rabi,173565,Hectare,722000,Tonnes,4.15982484948002
Haryana,KARNAL,Wheat,2001-02,Rabi,162854,Hectare,747000,Tonnes,4.58693062497697
Haryana,KARNAL,Wheat,2002-03,Rabi,167483,Hectare,729000,Tonnes,4.35268057056537
Haryana,KARNAL,Wheat,2003-04,Rabi,167222,Hectare,691000,Tonnes,4.13223140495867
Haryana,KURUKSHETRA,Wheat,2001-02,Rabi,110370,Hectare,491000,Tonnes,4.4486726465525
Haryana,KURUKSHETRA,Wheat,2002-03,Rabi,108816,Hectare,472000,Tonnes,4.33759741214527
Haryana,KURUKSHETRA,Wheat,2003-04,Rabi,112004,Hectare,451000,Tonnes,4.02664190564622
Haryana,MAHENDRAGARH,Wheat,2001-02,Rabi,41058,Hectare,153000,Tonnes,3.72643577378342
Haryana,MAHENDRAGARH,Wheat,2002-03,Rabi,45594,Hectare,182000,Tonnes,3.99175330087292
Haryana,MAHENDRAGARH,Wheat,2003-04,Rabi,42954,Hectare,170000,Tonnes,3.95772221446198
Haryana,PANCHKULA,Wheat,2001-02,Rabi,16679,Hectare,45000,Tonnes,2.6980034774267
Haryana,PANCHKULA,Wheat,2002-03,Rabi,16551,Hectare,44000,Tonnes,2.6584496405051
Haryana,PANCHKULA,Wheat,2003-04,Rabi,17362,Hectare,44000,Tonnes,2.53427024536343
Haryana,PANIPAT,Wheat,2001-02,Rabi,81743,Hectare,357000,Tonnes,4.36734643945047
Haryana,PANIPAT,Wheat,2002-03,Rabi,81137,Hectare,355000,Tonnes,4.37531582385348
Haryana,PANIPAT,Wheat,2003-04,Rabi,81294,Hectare,343000,Tonnes,4.21925357344945
Haryana,REWARI,Wheat,2001-02,Rabi,51182,Hectare,210000,Tonnes,4.10300496268219
Haryana,REWARI,Wheat,2002-03,Rabi,46344,Hectare,180000,Tonnes,3.88399792853443
Haryana,REWARI,Wheat,2003-04,Rabi,49404,Hectare,197000,Tonnes,3.98753137397781
Haryana,ROHTAK,Wheat,2001-02,Rabi,91826,Hectare,353000,Tonnes,3.84422712521508
Haryana,ROHTAK,Wheat,2002-03,Rabi,88669,Hectare,353000,Tonnes,3.98109824177559
Haryana,ROHTAK,Wheat,2003-04,Rabi,88426,Hectare,337000,Tonnes,3.8110962838984
Haryana,SIRSA,Wheat,2001-02,Rabi,241659,Hectare,1005000,Tonnes,4.15875262249699
Haryana,SIRSA,Wheat,2002-03,Rabi,228729,Hectare,920000,Tonnes,4.02222717713975
Haryana,SIRSA,Wheat,2003-04,Rabi,243982,Hectare,1005000,Tonnes,4.11915633120476
Haryana,SONIPAT,Wheat,2001-02,Rabi,135857,Hectare,594000,Tonnes,4.37224434515704
Haryana,SONIPAT,Wheat,2002-03,Rabi,131383,Hectare,569000,Tonnes,4.330849501077
Haryana,SONIPAT,Wheat,2003-04,Rabi,132721,Hectare,504000,Tonnes,3.7974397420152
Haryana,YAMUNANAGAR,Wheat,2001-02,Rabi,64904,Hectare,241000,Tonnes,3.7131763835819
Haryana,YAMUNANAGAR,Wheat,2002-03,Rabi,63976,Hectare,235000,Tonnes,3.67325246967612
Haryana,YAMUNANAGAR,Wheat,2003-04,Rabi,71329,Hectare,242000,Tonnes,3.39272946487403
Himachal Pradesh,BILASPUR,Arhar/Tur,2001-02,Kharif,11,Hectare,3,Tonnes,0.272727272727272
Himachal Pradesh,BILASPUR,Arhar/Tur,2002-03,Kharif,17,Hectare,4,Tonnes,0.235294117647058
Himachal Pradesh,KANGRA,Arhar/Tur,2001-02,Kharif,24,Hectare,6,Tonnes,0.25
Himachal Pradesh,KULLU,Arhar/Tur,2001-02,Kharif,1370,Hectare,312,Tonnes,0.227737226277372
Himachal Pradesh,MANDI,Arhar/Tur,2001-02,Kharif,1,Hectare,1,Tonnes,1
Himachal Pradesh,SHIMLA,Arhar/Tur,2001-02,Kharif,73,Hectare,16,Tonnes,0.21917808219178
Himachal Pradesh,SHIMLA,Arhar/Tur,2002-03,Kharif,49,Hectare,11,Tonnes,0.224489795918367
Himachal Pradesh,SOLAN,Arhar/Tur,2001-02,Kharif,1,Hectare,1,Tonnes,1
Himachal Pradesh,SOLAN,Arhar/Tur,2002-03,Kharif,7,Hectare,2,Tonnes,0.285714285714285
Himachal Pradesh,UNA,Arhar/Tur,2002-03,Kharif,261,Hectare,35,Tonnes,0.134099616858237
Himachal Pradesh,BILASPUR,Bajra,2001-02,Kharif,5,Hectare,2,Tonnes,0.4
Himachal Pradesh,CHAMBA,Bajra,2001-02,Kharif,1,Hectare,1,Tonnes,1
Himachal Pradesh,HAMIRPUR,Bajra,2001-02,Kharif,1,Hectare,1,Tonnes,1
Himachal Pradesh,SHIMLA,Barley,2002-03,Rabi,4470,Hectare,3763,Tonnes,0.841834451901566
Himachal Pradesh,SHIMLA,Barley,2003-04,Rabi,4674,Hectare,5581,Tonnes,1.19405220367993
Himachal Pradesh,SIRMAUR,Barley,2001-02,Rabi,2010,Hectare,2383,Tonnes,1.18557213930348
Himachal Pradesh,SIRMAUR,Barley,2002-03,Rabi,2379,Hectare,3781,Tonnes,1.58932324506095
Himachal Pradesh,SIRMAUR,Barley,2003-04,Rabi,2716,Hectare,2314,Tonnes,0.851988217967599
Himachal Pradesh,SOLAN,Barley,2001-02,Rabi,1474,Hectare,1675,Tonnes,1.13636363636363
Himachal Pradesh,SOLAN,Barley,2002-03,Rabi,1392,Hectare,1157,Tonnes,0.83117816091954
Himachal Pradesh,SOLAN,Barley,2003-04,Rabi,1533,Hectare,1103,Tonnes,0.719504240052185
Himachal Pradesh,CHAMBA,Coriander,2001-02,Whole Year,16,Hectare,5,Tonnes,0.3125
Himachal Pradesh,CHAMBA,Coriander,2002-03,Whole Year,10,Hectare,3,Tonnes,0.3
Himachal Pradesh,HAMIRPUR,Coriander,2001-02,Whole Year,3,Hectare,8,Tonnes,2.66666666666666
Himachal Pradesh,HAMIRPUR,Coriander,2002-03,Whole Year,1,Hectare,,Tonnes,0
Himachal Pradesh,KANGRA,Coriander,2001-02,Whole Year,2,Hectare,4,Tonnes,2
Himachal Pradesh,KANGRA,Coriander,2002-03,Whole Year,6,Hectare,2,Tonnes,0.333333333333333
Himachal Pradesh,KULLU,Coriander,2001-02,Whole Year,61,Hectare,15,Tonnes,0.245901639344262
Himachal Pradesh,KULLU,Coriander,2002-03,Whole Year,17,Hectare,5,Tonnes,0.294117647058823
Himachal Pradesh,MANDI,Coriander,2001-02,Whole Year,3,Hectare,6,Tonnes,2
Himachal Pradesh,MANDI,Coriander,2002-03,Whole Year,27,Hectare,9,Tonnes,0.333333333333333
Himachal Pradesh,SHIMLA,Coriander,2001-02,Whole Year,104,Hectare,30,Tonnes,0.288461538461538
Himachal Pradesh,SHIMLA,Coriander,2002-03,Whole Year,84,Hectare,27,Tonnes,0.321428571428571
Himachal Pradesh,SIRMAUR,Coriander,2001-02,Whole Year,118,Hectare,34,Tonnes,0.288135593220339
Himachal Pradesh,SIRMAUR,Coriander,2002-03,Whole Year,93,Hectare,30,Tonnes,0.32258064516129
Himachal Pradesh,UNA,Coriander,2001-02,Whole Year,1,Hectare,3,Tonnes,3
Himachal Pradesh,UNA,Coriander,2002-03,Whole Year,25,Hectare,8,Tonnes,0.32
Himachal Pradesh,BILASPUR,Cotton(lint),2001-02,Kharif,1,Hectare,1,Bales,1
Himachal Pradesh,BILASPUR,Cotton(lint),2002-03,Kharif,1,Hectare,,Bales,0
Himachal Pradesh,HAMIRPUR,Cotton(lint),2002-03,Kharif,3,Hectare,2,Bales,0.666666666666666
Himachal Pradesh,KANGRA,Cotton(lint),2001-02,Kharif,17,Hectare,10,Bales,0.588235294117647
Himachal Pradesh,KANGRA,Cotton(lint),2002-03,Kharif,15,Hectare,9,Bales,0.6
Himachal Pradesh,MANDI,Cotton(lint),2001-02,Kharif,1,Hectare,1,Bales,1
Himachal Pradesh,SOLAN,Cotton(lint),2001-02,Kharif,1,Hectare,1,Bales,1
Himachal Pradesh,SOLAN,Cotton(lint),2002-03,Kharif,9,Hectare,4,Bales,0.444444444444444
Himachal Pradesh,BILASPUR,Dry chillies,2001-02,Whole Year,13,Hectare,2,Tonnes,0.153846153846153
Himachal Pradesh,BILASPUR,Dry chillies,2002-03,Whole Year,15,Hectare,3,Tonnes,0.2
Himachal Pradesh,CHAMBA,Dry chillies,2001-02,Whole Year,39,Hectare,9,Tonnes,0.23076923076923
Himachal Pradesh,CHAMBA,Dry chillies,2002-03,Whole Year,30,Hectare,1,Tonnes,0.0333333333333333
Himachal Pradesh,HAMIRPUR,Dry chillies,2001-02,Whole Year,2,Hectare,1,Tonnes,0.5
Himachal Pradesh,HAMIRPUR,Dry chillies,2002-03,Whole Year,2,Hectare,,Tonnes,0
Himachal Pradesh,KANGRA,Dry chillies,2001-02,Whole Year,11,Hectare,3,Tonnes,0.272727272727272
Himachal Pradesh,KANGRA,Dry chillies,2002-03,Whole Year,3,Hectare,,Tonnes,0
Himachal Pradesh,KULLU,Dry chillies,2001-02,Whole Year,229,Hectare,37,Tonnes,0.161572052401746
Himachal Pradesh,KULLU,Dry chillies,2002-03,Whole Year,228,Hectare,15,Tonnes,0.0657894736842105
Himachal Pradesh,MANDI,Dry chillies,2001-02,Whole Year,161,Hectare,22,Tonnes,0.136645962732919
Himachal Pradesh,MANDI,Dry chillies,2002-03,Whole Year,161,Hectare,37,Tonnes,0.229813664596273
Himachal Pradesh,SHIMLA,Dry chillies,2001-02,Whole Year,156,Hectare,34,Tonnes,0.217948717948717
Himachal Pradesh,SHIMLA,Dry chillies,2002-03,Whole Year,75,Hectare,13,Tonnes,0.173333333333333
Himachal Pradesh,SIRMAUR,Dry chillies,2001-02,Whole Year,394,Hectare,84,Tonnes,0.213197969543147
Himachal Pradesh,SIRMAUR,Dry chillies,2002-03,Whole Year,311,Hectare,12,Tonnes,0.0385852090032154
Himachal Pradesh,SOLAN,Dry chillies,2001-02,Whole Year,12,Hectare,2,Tonnes,0.166666666666666
Himachal Pradesh,SOLAN,Dry chillies,2002-03,Whole Year,3,Hectare,3,Tonnes,1
Himachal Pradesh,UNA,Dry chillies,2001-02,Whole Year,7,Hectare,1,Tonnes,0.142857142857142
Himachal Pradesh,UNA,Dry chillies,2002-03,Whole Year,9,Hectare,3,Tonnes,0.333333333333333
Himachal Pradesh,BILASPUR,Garlic,2001-02,Whole Year,42,Hectare,39,Tonnes,0.928571428571428
Himachal Pradesh,BILASPUR,Garlic,2002-03,Whole Year,55,Hectare,49,Tonnes,0.89090909090909
Himachal Pradesh,CHAMBA,Garlic,2001-02,Whole Year,75,Hectare,44,Tonnes,0.586666666666666
Himachal Pradesh,CHAMBA,Garlic,2002-03,Whole Year,58,Hectare,20,Tonnes,0.344827586206896
Himachal Pradesh,HAMIRPUR,Garlic,2001-02,Whole Year,8,Hectare,8,Tonnes,1
Himachal Pradesh,HAMIRPUR,Garlic,2002-03,Whole Year,9,Hectare,12,Tonnes,1.33333333333333
Himachal Pradesh,KANGRA,Garlic,2001-02,Whole Year,49,Hectare,65,Tonnes,1.32653061224489
Himachal Pradesh,KANGRA,Garlic,2002-03,Whole Year,49,Hectare,32,Tonnes,0.653061224489795
Himachal Pradesh,KULLU,Garlic,2001-02,Whole Year,605,Hectare,558,Tonnes,0.922314049586776
Himachal Pradesh,KULLU,Garlic,2002-03,Whole Year,1333,Hectare,702,Tonnes,0.526631657914478
Himachal Pradesh,MANDI,Garlic,2001-02,Whole Year,163,Hectare,58,Tonnes,0.355828220858895
Himachal Pradesh,MANDI,Garlic,2002-03,Whole Year,403,Hectare,133,Tonnes,0.330024813895781
Himachal Pradesh,SHIMLA,Garlic,2001-02,Whole Year,23,Hectare,29,Tonnes,1.26086956521739
Himachal Pradesh,SHIMLA,Garlic,2002-03,Whole Year,89,Hectare,35,Tonnes,0.393258426966292
Himachal Pradesh,SIRMAUR,Garlic,2001-02,Whole Year,606,Hectare,888,Tonnes,1.46534653465346
Himachal Pradesh,SIRMAUR,Garlic,2002-03,Whole Year,1085,Hectare,1341,Tonnes,1.23594470046082
Himachal Pradesh,SOLAN,Garlic,2001-02,Whole Year,20,Hectare,23,Tonnes,1.15
Himachal Pradesh,SOLAN,Garlic,2002-03,Whole Year,88,Hectare,54,Tonnes,0.613636363636363
Himachal Pradesh,UNA,Garlic,2001-02,Whole Year,6,Hectare,7,Tonnes,1.16666666666666
Himachal Pradesh,UNA,Garlic,2002-03,Whole Year,11,Hectare,1,Tonnes,0.0909090909090909
Himachal Pradesh,BILASPUR,Ginger,2001-02,Kharif,164,Hectare,1573,Tonnes,9.59146341463414
Himachal Pradesh,BILASPUR,Ginger,2002-03,Kharif,84,Hectare,486,Tonnes,5.78571428571428
Himachal Pradesh,BILASPUR,Ginger,2003-04,Kharif,110,Hectare,689,Tonnes,6.26363636363636
Himachal Pradesh,CHAMBA,Ginger,2001-02,Kharif,3,Hectare,33,Tonnes,11
Himachal Pradesh,CHAMBA,Ginger,2002-03,Kharif,2,Hectare,14,Tonnes,7
Himachal Pradesh,CHAMBA,Ginger,2003-04,Kharif,1,Hectare,7,Tonnes,7
Himachal Pradesh,HAMIRPUR,Ginger,2001-02,Kharif,7,Hectare,78,Tonnes,11.1428571428571
Himachal Pradesh,HAMIRPUR,Ginger,2002-03,Kharif,8,Hectare,56,Tonnes,7
Himachal Pradesh,KANGRA,Ginger,2001-02,Kharif,18,Hectare,200,Tonnes,11.1111111111111
Himachal Pradesh,KANGRA,Ginger,2002-03,Kharif,23,Hectare,160,Tonnes,6.95652173913043
Himachal Pradesh,KANGRA,Ginger,2003-04,Kharif,30,Hectare,215,Tonnes,7.16666666666666
Himachal Pradesh,MANDI,Ginger,2001-02,Kharif,78,Hectare,867,Tonnes,11.1153846153846
Himachal Pradesh,MANDI,Ginger,2002-03,Kharif,89,Hectare,618,Tonnes,6.9438202247191
Himachal Pradesh,MANDI,Ginger,2003-04,Kharif,83,Hectare,595,Tonnes,7.16867469879518
Himachal Pradesh,SHIMLA,Ginger,2001-02,Kharif,267,Hectare,2976,Tonnes,11.1460674157303
Himachal Pradesh,SHIMLA,Ginger,2002-03,Kharif,270,Hectare,1267,Tonnes,4.69259259259259
Himachal Pradesh,SHIMLA,Ginger,2003-04,Kharif,187,Hectare,882,Tonnes,4.71657754010695
Himachal Pradesh,SIRMAUR,Ginger,2001-02,Kharif,1458,Hectare,16442,Tonnes,11.2770919067215
Himachal Pradesh,SIRMAUR,Ginger,2002-03,Kharif,1446,Hectare,10067,Tonnes,6.96196403872752
Himachal Pradesh,SIRMAUR,Ginger,2003-04,Kharif,1187,Hectare,9170,Tonnes,7.72535804549283
Himachal Pradesh,SOLAN,Ginger,2001-02,Kharif,612,Hectare,6821,Tonnes,11.1454248366013
Himachal Pradesh,SOLAN,Ginger,2002-03,Kharif,532,Hectare,4376,Tonnes,8.22556390977443
Himachal Pradesh,SOLAN,Ginger,2003-04,Kharif,444,Hectare,3086,Tonnes,6.95045045045045
Himachal Pradesh,UNA,Ginger,2001-02,Kharif,2,Hectare,22,Tonnes,11
Himachal Pradesh,UNA,Ginger,2002-03,Kharif,1,Hectare,7,Tonnes,7
Himachal Pradesh,UNA,Ginger,2003-04,Kharif,2,Hectare,14,Tonnes,7
Himachal Pradesh,BILASPUR,Gram,2001-02,Rabi,171,Hectare,129,Tonnes,0.75438596491228
Himachal Pradesh,BILASPUR,Gram,2002-03,Rabi,248,Hectare,123,Tonnes,0.495967741935483
Himachal Pradesh,CHAMBA,Gram,2001-02,Rabi,2,Hectare,1,Tonnes,0.5
Himachal Pradesh,HAMIRPUR,Gram,2001-02,Rabi,8,Hectare,2,Tonnes,0.25
Himachal Pradesh,HAMIRPUR,Gram,2002-03,Rabi,8,Hectare,3,Tonnes,0.375
Himachal Pradesh,KANGRA,Gram,2001-02,Rabi,321,Hectare,279,Tonnes,0.869158878504672
Himachal Pradesh,KANGRA,Gram,2002-03,Rabi,414,Hectare,360,Tonnes,0.869565217391304
Himachal Pradesh,KULLU,Gram,2001-02,Rabi,79,Hectare,22,Tonnes,0.278481012658227
Himachal Pradesh,KULLU,Gram,2002-03,Rabi,69,Hectare,14,Tonnes,0.202898550724637
Himachal Pradesh,MANDI,Gram,2001-02,Rabi,31,Hectare,19,Tonnes,0.612903225806451
Himachal Pradesh,MANDI,Gram,2002-03,Rabi,36,Hectare,36,Tonnes,1
Himachal Pradesh,SHIMLA,Gram,2001-02,Rabi,35,Hectare,42,Tonnes,1.2
Himachal Pradesh,SHIMLA,Gram,2002-03,Rabi,26,Hectare,32,Tonnes,1.23076923076923
Himachal Pradesh,SIRMAUR,Gram,2001-02,Rabi,173,Hectare,177,Tonnes,1.02312138728323
Himachal Pradesh,SIRMAUR,Gram,2002-03,Rabi,167,Hectare,137,Tonnes,0.820359281437125
Himachal Pradesh,SOLAN,Gram,2001-02,Rabi,231,Hectare,222,Tonnes,0.961038961038961
Himachal Pradesh,SOLAN,Gram,2002-03,Rabi,223,Hectare,204,Tonnes,0.914798206278026
Himachal Pradesh,UNA,Gram,2001-02,Rabi,93,Hectare,111,Tonnes,1.19354838709677
Himachal Pradesh,UNA,Gram,2002-03,Rabi,160,Hectare,103,Tonnes,0.64375
Jammu and Kashmir,SRINAGAR,Moong(Green Gram),2002-03,Kharif,81,Hectare,40,Tonnes,0.493827160493827
Jammu and Kashmir,SRINAGAR,Moong(Green Gram),2003-04,Kharif,91,Hectare,45,Tonnes,0.494505494505494
Jammu and Kashmir,UDHAMPUR,Moong(Green Gram),2001-02,Kharif,82,Hectare,54,Tonnes,0.658536585365853
Jammu and Kashmir,UDHAMPUR,Moong(Green Gram),2002-03,Kharif,50,Hectare,33,Tonnes,0.66
Jammu and Kashmir,UDHAMPUR,Moong(Green Gram),2003-04,Kharif,31,Hectare,21,Tonnes,0.677419354838709
Jammu and Kashmir,ANANTNAG,Moth,2002-03,Kharif,695,Hectare,363,Tonnes,0.522302158273381
Jammu and Kashmir,BADGAM,Moth,2002-03,Kharif,859,Hectare,687,Tonnes,0.79976717112922
Jammu and Kashmir,BARAMULLA,Moth,2002-03,Kharif,1431,Hectare,718,Tonnes,0.501747030048916
Jammu and Kashmir,JAMMU,Moth,2002-03,Kharif,264,Hectare,145,Tonnes,0.549242424242424
Jammu and Kashmir,KATHUA,Moth,2002-03,Kharif,3,Hectare,2,Tonnes,0.666666666666666
Jammu and Kashmir,SRINAGAR,Moth,2002-03,Kharif,214,Hectare,144,Tonnes,0.672897196261682
Jammu and Kashmir,UDHAMPUR,Moth,2002-03,Kharif,15,Hectare,10,Tonnes,0.666666666666666
Jammu and Kashmir,ANANTNAG,Onion,2001-02,Whole Year,52,Hectare,111,Tonnes,2.13461538461538
Jammu and Kashmir,ANANTNAG,Onion,2002-03,Whole Year,21,Hectare,40,Tonnes,1.9047619047619
Jammu and Kashmir,ANANTNAG,Onion,2003-04,Whole Year,27,Hectare,54,Tonnes,2
Jammu and Kashmir,BADGAM,Onion,2001-02,Whole Year,188,Hectare,465,Tonnes,2.47340425531914
Jammu and Kashmir,BADGAM,Onion,2002-03,Whole Year,192,Hectare,475,Tonnes,2.47395833333333
Jammu and Kashmir,BADGAM,Onion,2003-04,Whole Year,222,Hectare,552,Tonnes,2.48648648648648
Jammu and Kashmir,DODA,Onion,2001-02,Whole Year,29,Hectare,75,Tonnes,2.58620689655172
Jammu and Kashmir,DODA,Onion,2002-03,Whole Year,27,Hectare,69,Tonnes,2.55555555555555
Jammu and Kashmir,DODA,Onion,2003-04,Whole Year,17,Hectare,44,Tonnes,2.58823529411764
Jammu and Kashmir,JAMMU,Onion,2002-03,Whole Year,17,Hectare,31,Tonnes,1.8235294117647
Jammu and Kashmir,JAMMU,Onion,2003-04,Whole Year,244,Hectare,293,Tonnes,1.20081967213114
Jammu and Kashmir,KATHUA,Onion,2001-02,Whole Year,4,Hectare,4,Tonnes,1
Jammu and Kashmir,KATHUA,Onion,2002-03,Whole Year,1,Hectare,1,Tonnes,1
Jammu and Kashmir,KATHUA,Onion,2003-04,Whole Year,1,Hectare,3,Tonnes,3
Jammu and Kashmir,LEH LADAKH,Onion,2001-02,Whole Year,8,Hectare,5,Tonnes,0.625
Jammu and Kashmir,LEH LADAKH,Onion,2002-03,Whole Year,8,Hectare,5,Tonnes,0.625
Jammu and Kashmir,LEH LADAKH,Onion,2003-04,Whole Year,9,Hectare,6,Tonnes,0.666666666666666
Jammu and Kashmir,PULWAMA,Onion,2001-02,Whole Year,138,Hectare,341,Tonnes,2.47101449275362
Jammu and Kashmir,PULWAMA,Onion,2002-03,Whole Year,128,Hectare,316,Tonnes,2.46875
Jammu and Kashmir,SRINAGAR,Onion,2001-02,Whole Year,102,Hectare,159,Tonnes,1.55882352941176
Jammu and Kashmir,SRINAGAR,Onion,2002-03,Whole Year,109,Hectare,175,Tonnes,1.60550458715596
Jammu and Kashmir,SRINAGAR,Onion,2003-04,Whole Year,113,Hectare,184,Tonnes,1.62831858407079
Jammu and Kashmir,UDHAMPUR,Onion,2001-02,Whole Year,5,Hectare,4,Tonnes,0.8
Jammu and Kashmir,UDHAMPUR,Onion,2003-04,Whole Year,7,Hectare,6,Tonnes,0.857142857142857
Jammu and Kashmir,BADGAM,Other Rabi pulses,2002-03,Rabi,15,Hectare,112,Tonnes,7.46666666666666
Jammu and Kashmir,JAMMU,Other Rabi pulses,2002-03,Rabi,2,Hectare,1,Tonnes,0.5
Jammu and Kashmir,KARGIL,Other Rabi pulses,2002-03,Rabi,16,Hectare,6,Tonnes,0.375
Jammu and Kashmir,KATHUA,Other Rabi pulses,2002-03,Rabi,3,Hectare,1,Tonnes,0.333333333333333
Jammu and Kashmir,KATHUA,Other Rabi pulses,2003-04,Rabi,98,Hectare,49,Tonnes,0.5
Jammu and Kashmir,LEH LADAKH,Other Rabi pulses,2002-03,Rabi,73,Hectare,16,Tonnes,0.21917808219178
Jammu and Kashmir,RAJAURI,Other Rabi pulses,2002-03,Rabi,1,Hectare,1,Tonnes,1
Jammu and Kashmir,SRINAGAR,Other Rabi pulses,2002-03,Rabi,42,Hectare,28,Tonnes,0.666666666666666
Jammu and Kashmir,SRINAGAR,Other Rabi pulses,2003-04,Rabi,42,Hectare,17,Tonnes,0.404761904761904
Jammu and Kashmir,UDHAMPUR,Other Rabi pulses,2003-04,Rabi,5,Hectare,3,Tonnes,0.6
Jammu and Kashmir,ANANTNAG,Other Kharif pulses,2002-03,Kharif,169,Hectare,89,Tonnes,0.526627218934911
Jammu and Kashmir,ANANTNAG,Other Kharif pulses,2003-04,Kharif,168,Hectare,89,Tonnes,0.529761904761904
Jammu and Kashmir,BADGAM,Other Kharif pulses,2002-03,Kharif,104,Hectare,55,Tonnes,0.528846153846153
Jammu and Kashmir,BADGAM,Other Kharif pulses,2003-04,Kharif,62,Hectare,31,Tonnes,0.5
Jammu and Kashmir,BARAMULLA,Other Kharif pulses,2002-03,Kharif,1237,Hectare,668,Tonnes,0.540016168148747
Jammu and Kashmir,DODA,Other Kharif pulses,2002-03,Kharif,1477,Hectare,1214,Tonnes,0.821936357481381
Jammu and Kashmir,DODA,Other Kharif pulses,2003-04,Kharif,56,Hectare,26,Tonnes,0.464285714285714
Jammu and Kashmir,JAMMU,Other Kharif pulses,2002-03,Kharif,840,Hectare,229,Tonnes,0.272619047619047
Jammu and Kashmir,JAMMU,Other Kharif pulses,2003-04,Kharif,73,Hectare,38,Tonnes,0.520547945205479
Jammu and Kashmir,KATHUA,Other Kharif pulses,2002-03,Kharif,192,Hectare,54,Tonnes,0.28125
Jammu and Kashmir,KATHUA,Other Kharif pulses,2003-04,Kharif,4,Hectare,2,Tonnes,0.5
Jammu and Kashmir,KUPWARA,Other Kharif pulses,2002-03,Kharif,853,Hectare,448,Tonnes,0.525205158264947
Jammu and Kashmir,KUPWARA,Other Kharif pulses,2003-04,Kharif,858,Hectare,450,Tonnes,0.524475524475524
Jammu and Kashmir,POONCH,Other Kharif pulses,2002-03,Kharif,36,Hectare,18,Tonnes,0.5
Jammu and Kashmir,POONCH,Other Kharif pulses,2003-04,Kharif,2,Hectare,1,Tonnes,0.5
Jammu and Kashmir,PULWAMA,Other Kharif pulses,2002-03,Kharif,961,Hectare,313,Tonnes,0.32570239334027
Jammu and Kashmir,RAJAURI,Other Kharif pulses,2002-03,Kharif,40,Hectare,21,Tonnes,0.525
Jammu and Kashmir,RAJAURI,Other Kharif pulses,2003-04,Kharif,25,Hectare,13,Tonnes,0.52
Jammu and Kashmir,SRINAGAR,Other Kharif pulses,2002-03,Kharif,18,Hectare,10,Tonnes,0.555555555555555
Jammu and Kashmir,SRINAGAR,Other Kharif pulses,2003-04,Kharif,27,Hectare,16,Tonnes,0.592592592592592
Jammu and Kashmir,UDHAMPUR,Other Kharif pulses,2002-03,Kharif,408,Hectare,317,Tonnes,0.776960784313725
Jammu and Kashmir,UDHAMPUR,Other Kharif pulses,2003-04,Kharif,95,Hectare,50,Tonnes,0.526315789473684
Jammu and Kashmir,JAMMU,other oilseeds,2002-03,Whole Year,30,Hectare,13,Tonnes,0.433333333333333
Jammu and Kashmir,KATHUA,other oilseeds,2003-04,Rabi,1,Hectare,,Tonnes,0
Jammu and Kashmir,SRINAGAR,other oilseeds,2002-03,Whole Year,6,Hectare,3,Tonnes,0.5
Jammu and Kashmir,SRINAGAR,other oilseeds,2003-04,Kharif,28,Hectare,12,Tonnes,0.428571428571428
