State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Bihar,MADHUBANI,Khesari,2003-04,Rabi,1740,Hectare,830,Tonnes,0.477011494252873
Bihar,MUNGER,Khesari,2001-02,Rabi,147,Hectare,110,Tonnes,0.748299319727891
Bihar,MUNGER,Khesari,2002-03,Rabi,108,Hectare,95,Tonnes,0.879629629629629
Bihar,MUNGER,Khesari,2003-04,Rabi,133,Hectare,133,Tonnes,1
Bihar,MUZAFFARPUR,Khesari,2001-02,Rabi,1081,Hectare,883,Tonnes,0.816836262719704
Bihar,GAYA,Maize,2002-03,Summer,1702,Hectare,5492,Tonnes,3.2267920094007
Bihar,GAYA,Maize,2003-04,Kharif,4855,Hectare,8303,Tonnes,1.7101956745623
Bihar,GAYA,Maize,2003-04,Rabi,238,Hectare,721,Tonnes,3.02941176470588
Bihar,GAYA,Maize,2003-04,Summer,2004,Hectare,5572,Tonnes,2.78043912175648
Bihar,GOPALGANJ,Maize,2001-02,Autumn,7234,Hectare,12278,Tonnes,1.69726292507602
Bihar,GOPALGANJ,Maize,2001-02,Rabi,5798,Hectare,18948,Tonnes,3.26802345636426
Bihar,GOPALGANJ,Maize,2001-02,Summer,2018,Hectare,4902,Tonnes,2.42913776015857
Bihar,GOPALGANJ,Maize,2002-03,Autumn,8686,Hectare,10853,Tonnes,1.24948192493667
Bihar,GOPALGANJ,Maize,2002-03,Rabi,6349,Hectare,7822,Tonnes,1.2320050401638
Bihar,GOPALGANJ,Maize,2002-03,Summer,2001,Hectare,5216,Tonnes,2.60669665167416
Bihar,GOPALGANJ,Maize,2003-04,Kharif,11069,Hectare,13453,Tonnes,1.21537627608636
Bihar,GOPALGANJ,Maize,2003-04,Rabi,6407,Hectare,21130,Tonnes,3.29795536132355
Bihar,GOPALGANJ,Maize,2003-04,Summer,1957,Hectare,7595,Tonnes,3.8809402146142
Bihar,JAMUI,Maize,2001-02,Autumn,5382,Hectare,9965,Tonnes,1.85154217762913
Chandigarh,CHANDIGARH,Potato,2002-03,Whole Year,50,Hectare,1300,Tonnes,26
Chandigarh,CHANDIGARH,Potato,2003-04,Whole Year,40,Hectare,800,Tonnes,20
Chandigarh,CHANDIGARH,Rapeseed &Mustard,2001-02,Rabi,70,Hectare,125,Tonnes,1.78571428571428
Chandigarh,CHANDIGARH,Rapeseed &Mustard,2002-03,Rabi,30,Hectare,50,Tonnes,1.66666666666666
Chandigarh,CHANDIGARH,Rice,2001-02,Kharif,50,Hectare,250,Tonnes,5
Chandigarh,CHANDIGARH,Rice,2002-03,Kharif,140,Hectare,700,Tonnes,5
Chandigarh,CHANDIGARH,Rice,2003-04,Kharif,100,Hectare,500,Tonnes,5
Chandigarh,CHANDIGARH,Sunflower,2001-02,Rabi,5,Hectare,13,Tonnes,2.6
Chandigarh,CHANDIGARH,Sunflower,2002-03,Rabi,5,Hectare,15,Tonnes,3
Chandigarh,CHANDIGARH,Urad,2001-02,Kharif,20,Hectare,20,Tonnes,1
Chandigarh,CHANDIGARH,Urad,2002-03,Kharif,5,Hectare,5,Tonnes,1
Chandigarh,CHANDIGARH,Wheat,2001-02,Rabi,750,Hectare,3350,Tonnes,4.46666666666666
Chandigarh,CHANDIGARH,Wheat,2002-03,Rabi,700,Hectare,3315,Tonnes,4.73571428571428
Chandigarh,CHANDIGARH,Wheat,2003-04,Rabi,650,Hectare,3000,Tonnes,4.61538461538461
Chhattisgarh,BASTAR,Arhar/Tur,2001-02,Kharif,961,Hectare,435,Tonnes,0.452653485952133
Chhattisgarh,BASTAR,Arhar/Tur,2002-03,Kharif,1044,Hectare,388,Tonnes,0.371647509578544
Chhattisgarh,BASTAR,Arhar/Tur,2003-04,Kharif,1079,Hectare,728,Tonnes,0.674698795180722
Chhattisgarh,BILASPUR,Arhar/Tur,2001-02,Kharif,4180,Hectare,1665,Tonnes,0.398325358851674
Chhattisgarh,BILASPUR,Arhar/Tur,2002-03,Kharif,4351,Hectare,2007,Tonnes,0.461273270512525
Chhattisgarh,BILASPUR,Arhar/Tur,2003-04,Kharif,4263,Hectare,2687,Tonnes,0.630307295331925
Chhattisgarh,DANTEWADA,Arhar/Tur,2001-02,Kharif,994,Hectare,422,Tonnes,0.424547283702213
Chhattisgarh,DANTEWADA,Arhar/Tur,2002-03,Kharif,1016,Hectare,395,Tonnes,0.388779527559055
Chhattisgarh,DANTEWADA,Arhar/Tur,2003-04,Kharif,1078,Hectare,705,Tonnes,0.653988868274582
Chhattisgarh,DHAMTARI,Arhar/Tur,2001-02,Kharif,422,Hectare,115,Tonnes,0.272511848341232
Chhattisgarh,DHAMTARI,Arhar/Tur,2002-03,Kharif,603,Hectare,164,Tonnes,0.271973466003316
Chhattisgarh,DHAMTARI,Arhar/Tur,2003-04,Kharif,476,Hectare,192,Tonnes,0.403361344537815
Chhattisgarh,DURG,Arhar/Tur,2001-02,Kharif,4974,Hectare,1959,Tonnes,0.39384800965018
Chhattisgarh,DURG,Arhar/Tur,2002-03,Kharif,6516,Hectare,2518,Tonnes,0.386433394720687
Chhattisgarh,DURG,Arhar/Tur,2003-04,Kharif,4173,Hectare,2510,Tonnes,0.601485741672657
Chhattisgarh,JANJGIR-CHAMPA,Arhar/Tur,2001-02,Kharif,947,Hectare,391,Tonnes,0.412882787750791
Chhattisgarh,JANJGIR-CHAMPA,Arhar/Tur,2002-03,Kharif,1389,Hectare,642,Tonnes,0.462203023758099
Chhattisgarh,JANJGIR-CHAMPA,Arhar/Tur,2003-04,Kharif,1331,Hectare,909,Tonnes,0.682945154019534
Chhattisgarh,KABIRDHAM,Dry chillies,2002-03,Whole Year,419,Hectare,438,Tonnes,1.0453460620525
Chhattisgarh,KABIRDHAM,Dry chillies,2003-04,Whole Year,324,Hectare,243,Tonnes,0.75
Chhattisgarh,KANKER,Dry chillies,2001-02,Whole Year,225,Hectare,123,Tonnes,0.546666666666666
Chhattisgarh,KANKER,Dry chillies,2002-03,Whole Year,124,Hectare,75,Tonnes,0.604838709677419
Chhattisgarh,KANKER,Dry chillies,2003-04,Whole Year,203,Hectare,154,Tonnes,0.758620689655172
Chhattisgarh,KORBA,Dry chillies,2001-02,Whole Year,215,Hectare,101,Tonnes,0.469767441860465
Chhattisgarh,KORBA,Dry chillies,2002-03,Whole Year,207,Hectare,147,Tonnes,0.710144927536231
Chhattisgarh,KORBA,Dry chillies,2003-04,Whole Year,224,Hectare,114,Tonnes,0.508928571428571
Chhattisgarh,RAJNANDGAON,Gram,2002-03,Rabi,23652,Hectare,13426,Tonnes,0.567647556232031
Chhattisgarh,RAJNANDGAON,Gram,2003-04,Rabi,28301,Hectare,24593,Tonnes,0.868979894703367
Chhattisgarh,SURGUJA,Gram,2001-02,Rabi,3141,Hectare,2024,Tonnes,0.644380770455269
Chhattisgarh,SURGUJA,Gram,2002-03,Rabi,2924,Hectare,1688,Tonnes,0.577291381668946
Chhattisgarh,SURGUJA,Gram,2003-04,Rabi,3209,Hectare,2593,Tonnes,0.808039887815518
Chhattisgarh,BASTAR,Groundnut,2001-02,Kharif,14,Hectare,19,Tonnes,1.35714285714285
Chhattisgarh,BASTAR,Groundnut,2002-03,Kharif,13,Hectare,16,Tonnes,1.23076923076923
Chhattisgarh,BASTAR,Groundnut,2003-04,Kharif,18,Hectare,22,Tonnes,1.22222222222222
Chhattisgarh,BILASPUR,Groundnut,2001-02,Kharif,2984,Hectare,3934,Tonnes,1.31836461126005
Goa,Goa,Maize,2002-03,Kharif,200,Hectare,800,Tonnes,4
Goa,Goa,Maize,2003-04,Kharif,200,Hectare,800,Tonnes,4
Goa,Goa,Other Rabi pulses,2001-02,Rabi,8944,Hectare,8085,Tonnes,0.903957960644007
Goa,Goa,Other Rabi pulses,2002-03,Rabi,9167,Hectare,7285,Tonnes,0.794698374604559
Goa,Goa,Other Rabi pulses,2003-04,Rabi,9284,Hectare,8853,Tonnes,0.953576044808272
Goa,Goa,Other Kharif pulses,2001-02,Kharif,505,Hectare,283,Tonnes,0.56039603960396
Goa,Goa,Other Kharif pulses,2002-03,Kharif,201,Hectare,168,Tonnes,0.835820895522388
Goa,Goa,Other Kharif pulses,2003-04,Kharif,498,Hectare,294,Tonnes,0.590361445783132
Goa,Goa,Ragi,2001-02,Kharif,315,Hectare,315,Tonnes,1
Goa,Goa,Ragi,2002-03,Kharif,353,Hectare,301,Tonnes,0.852691218130311
Goa,Goa,Ragi,2003-04,Kharif,439,Hectare,394,Tonnes,0.89749430523918
Goa,Goa,Rice,2001-02,Kharif,32746,Hectare,79071,Tonnes,2.41467660172234
Goa,Goa,Rice,2001-02,Rabi,16637,Hectare,47452,Tonnes,2.85219691050069
Goa,Goa,Rice,2002-03,Kharif,33728,Hectare,90072,Tonnes,2.67054079696394
